DATA|ORA ACCESSO|HWID|ORA USCITA|FIL
12/06/2026|12:34:09|WMI-E49B5BEB-D3A4-C88A-B73F-D773EF76AD34|NON REGISTRATA|Generazione da RB v.6.xls
12/06/2026|12:34:09|WMI-E49B5BEB-D3A4-C88A-B73F-D773EF76AD34|12:36:36|Generazione da RB v.6.xlsm
12/06/2026|13:45:13|WMI-12345678-1234-5678-90AB-CDDEEFAABBCC|NON REGISTRATA|Generazione da RB v.6.xls
12/06/2026|14:26:07|WMI-12345678-1234-5678-90AB-CDDEEFAABBCC|NON REGISTRATA|Generazione da RB v.6.xlsm
12/06/2026|14:26:07|WMI-12345678-1234-5678-90AB-CDDEEFAABBCC|NON REGISTRATA|Generazione da RB v.6.xls
12/06/2026|14:26:07|WMI-12345678-1234-5678-90AB-CDDEEFAABBCC|NON REGISTRATA|Generazione da RB v.6.xlsm
12/06/2026|14:29:09|WMI-12345678-1234-5678-90AB-CDDEEFAABBCC|NON REGISTRATA|Generazione da RB v.6.xls
12/06/2026|14:29:42|WMI-12345678-1234-5678-90AB-CDDEEFAABBCC|NON REGISTRATA|Generazione da RB v.6.xlsm
12/06/2026|14:30:59|WMI-12345678-1234-5678-90AB-CDDEEFAABBCC|NON REGISTRATA|Generazione da RB v.6.xls
12/06/2026|14:31:34|WMI-12345678-1234-5678-90AB-CDDEEFAABBCC|NON REGISTRATA|Generazione da RB v.6.xlsm
12/06/2026|14:32:04|WMI-12345678-1234-5678-90AB-CDDEEFAABBCC|NON REGISTRATA|Generazione da RB v.6.xls
12/06/2026|14:35:16|WMI-12345678-1234-5678-90AB-CDDEEFAABBCC|NON REGISTRATA|Generazione da RB v.6.xlsm
12/06/2026|14:35:58|WMI-12345678-1234-5678-90AB-CDDEEFAABBCC|NON REGISTRATA|Generazione da RB v.6.xls
12/06/2026|14:45:57|WMI-12345678-1234-5678-90AB-CDDEEFAABBCC|NON REGISTRATA|Generazione da RB v.6.xlsm
12/06/2026|14:46:16|WMI-12345678-1234-5678-90AB-CDDEEFAABBCC|NON REGISTRATA|Generazione da RB v.6.xls
12/06/2026|14:46:16|WMI-12345678-1234-5678-90AB-CDDEEFAABBCC|NON REGISTRATA|Generazione da RB v.6.xlsm
12/06/2026|14:46:16|WMI-12345678-1234-5678-90AB-CDDEEFAABBCC|NON REGISTRATA|Generazione da RB v.6.xls
12/06/2026|14:48:30|WMI-12345678-1234-5678-90AB-CDDEEFAABBCC|NON REGISTRATA|Generazione da RB v.6.xlsm
12/06/2026|14:48:30|WMI-12345678-1234-5678-90AB-CDDEEFAABBCC|NON REGISTRATA|Generazione da RB v.6.xls
12/06/2026|14:48:30|WMI-12345678-1234-5678-90AB-CDDEEFAABBCC|NON REGISTRATA|Generazione da RB v.6.xlsm
12/06/2026|14:48:30|WMI-12345678-1234-5678-90AB-CDDEEFAABBCC|NON REGISTRATA|Generazione da RB v.6.xls
12/06/2026|14:48:30|WMI-12345678-1234-5678-90AB-CDDEEFAABBCC|NON REGISTRATA|Generazione da RB v.6.xlsm
12/06/2026|14:50:13|WMI-12345678-1234-5678-90AB-CDDEEFAABBCC|NON REGISTRATA|Generazione da RB v.6.xls
12/06/2026|14:50:13|WMI-12345678-1234-5678-90AB-CDDEEFAABBCC|NON REGISTRATA|Generazione da RB v.6.xlsm
12/06/2026|14:50:13|WMI-12345678-1234-5678-90AB-CDDEEFAABBCC|NON REGISTRATA|Generazione da RB v.6.xls
12/06/2026|14:50:13|WMI-12345678-1234-5678-90AB-CDDEEFAABBCC|NON REGISTRATA|Generazione da RB v.6.xlsm
12/06/2026|15:00:56|WMI-12345678-1234-5678-90AB-CDDEEFAABBCC|NON REGISTRATA|Generazione da RB v.6.xls
12/06/2026|15:00:56|WMI-12345678-1234-5678-90AB-CDDEEFAABBCC|NON REGISTRATA|Generazione da RB v.6.xlsm
12/06/2026|15:00:56|WMI-12345678-1234-5678-90AB-CDDEEFAABBCC|NON REGISTRATA|Generazione da RB v.6.xls
12/06/2026|15:04:26|WMI-12345678-1234-5678-90AB-CDDEEFAABBCC|NON REGISTRATA|Generazione da RB v.6.xlsm
12/06/2026|15:04:26|WMI-12345678-1234-5678-90AB-CDDEEFAABBCC|NON REGISTRATA|Generazione da RB v.6.xls
12/06/2026|15:04:26|WMI-12345678-1234-5678-90AB-CDDEEFAABBCC|NON REGISTRATA|Generazione da RB v.6.xlsm
12/06/2026|15:04:26|WMI-12345678-1234-5678-90AB-CDDEEFAABBCC|NON REGISTRATA|Generazione da RB v.6.xls
12/06/2026|15:17:22|WMI-12345678-1234-5678-90AB-CDDEEFAABBCC|NON REGISTRATA|Generazione da RB v.6.xlsm
12/06/2026|15:23:14|WMI-12345678-1234-5678-90AB-CDDEEFAABBCC|NON REGISTRATA|Generazione da RB v.5.3.5.xlsm
12/06/2026|15:23:14|WMI-12345678-1234-5678-90AB-CDDEEFAABBCC|NON REGISTRATA|Generazione da RB v.5.3.5.xlsm
12/06/2026|15:23:14|WMI-12345678-1234-5678-90AB-CDDEEFAABBCC|NON REGISTRATA|Generazione da RB v.5.3.5.xlsm
12/06/2026|15:25:10|WMI-12345678-1234-5678-90AB-CDDEEFAABBCC|NON REGISTRATA|Generazione da RB v.5.3.4.xlsm
12/06/2026|15:25:10|WMI-12345678-1234-5678-90AB-CDDEEFAABBCC|NON REGISTRATA|Generazione da RB v.5.3.4.xlsm
12/06/2026|15:25:10|WMI-12345678-1234-5678-90AB-CDDEEFAABBCC|NON REGISTRATA|Generazione da RB v.5.3.4.xlsm
12/06/2026|15:35:48|WMI-12345678-1234-5678-90AB-CDDEEFAABBCC|16:43:15|Generazione da RB v.6.xls
||||
|
12/06/2026|16:43:46|WMI-12345678-1234-5678-90AB-CDDEEFAABBCC|NON REGISTRATA|Generazione da RB v.6.xlsm
12/06/2026|16:46:51|WMI-12345678-1234-5678-90AB-CDDEEFAABBCC|NON REGISTRATA|Generazione da RB v.6.xls
12/06/2026|16:46:51|WMI-12345678-1234-5678-90AB-CDDEEFAABBCC|NON REGISTRATA|Generazione da RB v.6.xlsm
12/06/2026|16:46:51|WMI-12345678-1234-5678-90AB-CDDEEFAABBCC|NON REGISTRATA|Generazione da RB v.6.xls
12/06/2026|16:46:51|WMI-12345678-1234-5678-90AB-CDDEEFAABBCC|NON REGISTRATA|Generazione da RB v.6.xlsm
12/06/2026|16:55:17|WMI-12345678-1234-5678-90AB-CDDEEFAABBCC|NON REGISTRATA|Generazione da RB v.6.xls
12/06/2026|16:55:17|WMI-12345678-1234-5678-90AB-CDDEEFAABBCC|NON REGISTRATA|Generazione da RB v.6.xlsm
12/06/2026|16:55:17|WMI-12345678-1234-5678-90AB-CDDEEFAABBCC|NON REGISTRATA|Generazione da RB v.6.xls
12/06/2026|17:02:15|WMI-12345678-1234-5678-90AB-CDDEEFAABBCC|NON REGISTRATA|Generazione da RB v.6.xlsm
12/06/2026|17:02:15|WMI-12345678-1234-5678-90AB-CDDEEFAABBCC|NON REGISTRATA|Generazione da RB v.6.xls
12/06/2026|17:02:15|WMI-12345678-1234-5678-90AB-CDDEEFAABBCC|NON REGISTRATA|Generazione da RB v.6.xlsm
12/06/2026|17:05:32|WMI-12345678-1234-5678-90AB-CDDEEFAABBCC|NON REGISTRATA|Generazione da RB v.6.xls
12/06/2026|17:10:57|WMI-12345678-1234-5678-90AB-CDDEEFAABBCC|NON REGISTRATA|Generazione da RB v.6.xlsm
12/06/2026|17:18:03|WMI-12345678-1234-5678-90AB-CDDEEFAABBCC|NON REGISTRATA|Generazione da RB v.6.xls
12/06/2026|17:18:03|WMI-12345678-1234-5678-90AB-CDDEEFAABBCC|NON REGISTRATA|Generazione da RB v.6.xlsm
12/06/2026|17:18:03|WMI-12345678-1234-5678-90AB-CDDEEFAABBCC|NON REGISTRATA|Generazione da RB v.6.xls
12/06/2026|17:18:03|WMI-12345678-1234-5678-90AB-CDDEEFAABBCC|17:21:26|Generazione da RB v.6.xlsm
12/06/2026|17:21:50|WMI-12345678-1234-5678-90AB-CDDEEFAABBCC||Generazione da RB v.6.xlsm
12/06/2026|17:21:50|WMI-12345678-1234-5678-90AB-CDDEEFAABBCC||Generazione da RB v.6.xls
12/06/2026|17:21:50|WMI-12345678-1234-5678-90AB-CDDEEFAABBCC||Generazione da RB v.6.xlsm
12/06/2026|17:33:09|WMI-12345678-1234-5678-90AB-CDDEEFAABBCC||Generazione da RB v.6.xls
12/06/2026|17:33:09|WMI-12345678-1234-5678-90AB-CDDEEFAABBCC||Generazione da RB v.6.xlsm
12/06/2026|17:34:42|WMI-12345678-1234-5678-90AB-CDDEEFAABBCC||Generazione da RB v.6.xls
12/06/2026|17:36:55|WMI-12345678-1234-5678-90AB-CDDEEFAABBCC||Generazione da RB v.6.xlsm
12/06/2026|17:36:55|WMI-12345678-1234-5678-90AB-CDDEEFAABBCC||Generazione da RB v.6.xls
12/06/2026|17:38:11|WMI-12345678-1234-5678-90AB-CDDEEFAABBCC||Generazione da RB v.6.xlsm
12/06/2026|17:38:11|WMI-12345678-1234-5678-90AB-CDDEEFAABBCC||Generazione da RB v.6.xls
12/06/2026|17:38:11|WMI-12345678-1234-5678-90AB-CDDEEFAABBCC||Generazione da RB v.6.xlsm
12/06/2026|17:40:55|WMI-12345678-1234-5678-90AB-CDDEEFAABBCC||Generazione da RB v.6.xls
12/06/2026|17:40:55|WMI-12345678-1234-5678-90AB-CDDEEFAABBCC||Generazione da RB v.6.xlsm
12/06/2026|17:40:55|WMI-12345678-1234-5678-90AB-CDDEEFAABBCC||Generazione da RB v.6.xls
12/06/2026|17:45:08|WMI-12345678-1234-5678-90AB-CDDEEFAABBCC||Generazione da RB v.6.xlsm
12/06/2026|17:45:08|WMI-12345678-1234-5678-90AB-CDDEEFAABBCC||Generazione da RB v.6.xls
12/06/2026|17:45:08|WMI-12345678-1234-5678-90AB-CDDEEFAABBCC||Generazione da RB v.6.xlsm
12/06/2026|17:47:08|WMI-12345678-1234-5678-90AB-CDDEEFAABBCC||Generazione da RB v.6.xls
12/06/2026|17:47:08|WMI-12345678-1234-5678-90AB-CDDEEFAABBCC||Generazione da RB v.6.xlsm
12/06/2026|17:47:08|WMI-12345678-1234-5678-90AB-CDDEEFAABBCC||Generazione da RB v.6.xls
12/06/2026|17:47:08|WMI-12345678-1234-5678-90AB-CDDEEFAABBCC||Generazione da RB v.6.xlsm
12/06/2026|17:47:08|WMI-12345678-1234-5678-90AB-CDDEEFAABBCC||Generazione da RB v.6.xls
12/06/2026|17:47:08|WMI-12345678-1234-5678-90AB-CDDEEFAABBCC||Generazione da RB v.6.xlsm
